STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,1900,"Census Tract 19, Fulton County, Georgia",996269,0,33.7661963,-84.3872629,2074,37406,3.1,163100,52612.90323,208
Georgia,Fulton County,200,"Census Tract 2, Fulton County, Georgia",2878574,0,33.7916329,-84.3641988,6141,88021,5.5,487100,88563.63636,213
Georgia,Fulton County,2100,"Census Tract 21, Fulton County, Georgia",807922,0,33.7655324,-84.3947712,4100,26438,3.4,227700,66970.58824,507
Georgia,Fulton County,2300,"Census Tract 23, Fulton County, Georgia",1122539,0,33.7672174,-84.4186028,1683,20350,4.7,107800,22936.17021,150
Georgia,Fulton County,2400,"Census Tract 24, Fulton County, Georgia",1352248,0,33.7586698,-84.4248089,2187,29117,5.1,133700,26215.68627,162
Georgia,Fulton County,2500,"Census Tract 25, Fulton County, Georgia",872188,0,33.7590745,-84.4126613,2184,24596,4.1,123800,30195.12195,250
Georgia,Fulton County,2600,"Census Tract 26, Fulton County, Georgia",955895,0,33.7587958,-84.4026296,714,27891,4,219200,54800,75
Georgia,Fulton County,2800,"Census Tract 28, Fulton County, Georgia",748061,0,33.758087,-84.379399,1747,11706,3.2,148200,46312.5,234
Georgia,Fulton County,2900,"Census Tract 29, Fulton County, Georgia",714881,0,33.7580053,-84.3693491,1569,52426,3.6,226600,62944.44444,219
Georgia,Fulton County,3000,"Census Tract 30, Fulton County, Georgia",1183371,1783,33.758758,-84.3572779,2682,76714,5,520300,104060,227
Georgia,Fulton County,3100,"Census Tract 31, Fulton County, Georgia",875789,0,33.7520808,-84.3530446,1731,39688,4.8,189100,39395.83333,198
Georgia,Fulton County,3200,"Census Tract 32, Fulton County, Georgia",1063940,0,33.7498233,-84.3650959,1958,56071,3.6,246000,68333.33333,184
Georgia,Fulton County,3500,"Census Tract 35, Fulton County, Georgia",1380444,0,33.7508367,-84.3916061,1865,52969,3.3,262800,79636.36364,135
Georgia,Fulton County,3600,"Census Tract 36, Fulton County, Georgia",394287,0,33.7518752,-84.4029204,1043,23545,3.3,218100,66090.90909,265
Georgia,Fulton County,3700,"Census Tract 37, Fulton County, Georgia",90587,0,33.7489884,-84.4101331,810,10781,4.2,,0,894
Georgia,Fulton County,3800,"Census Tract 38, Fulton County, Georgia",834763,0,33.7508286,-84.412023,4076,23750,4.1,84300,20560.97561,488
Georgia,Fulton County,3900,"Census Tract 39, Fulton County, Georgia",833921,0,33.7500627,-84.4220948,1189,15426,5.7,95400,16736.84211,143
Georgia,Fulton County,400,"Census Tract 4, Fulton County, Georgia",1556962,48284,33.7883241,-84.3785105,1672,100125,3.5,398500,113857.1429,107
Georgia,Fulton County,4000,"Census Tract 40, Fulton County, Georgia",1618677,0,33.7499759,-84.4361794,2221,28399,5.8,120500,20775.86207,137
Georgia,Fulton County,4100,"Census Tract 41, Fulton County, Georgia",1265634,0,33.7408497,-84.428069,1799,30668,4.8,184900,38520.83333,142
Georgia,Fulton County,4200,"Census Tract 42, Fulton County, Georgia",1247426,0,33.7390424,-84.4181854,2260,21115,4,161100,40275,181
Georgia,Fulton County,4300,"Census Tract 43, Fulton County, Georgia",614419,0,33.745362,-84.4091076,2889,28792,3.7,271800,73459.45946,470
Georgia,Fulton County,4400,"Census Tract 44, Fulton County, Georgia",827259,0,33.7407725,-84.4017693,728,15585,3.4,278500,81911.76471,88
Georgia,Fulton County,4800,"Census Tract 48, Fulton County, Georgia",393133,0,33.7443312,-84.3839375,487,10636,3.4,122800,36117.64706,124
Georgia,Fulton County,4900,"Census Tract 49, Fulton County, Georgia",1094030,0,33.7409122,-84.3794479,2333,85789,5.7,238100,41771.92982,213
Georgia,Fulton County,500,"Census Tract 5, Fulton County, Georgia",3295677,11396,33.7961417,-84.3854516,4091,80417,4.1,656400,160097.561,124
