STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density,
New Jersey,Essex County,4600,"Census Tract 46, Essex County, New Jersey",409432,0,40.7096952,-74.2159387,3756,43158,5,277300,55460,917.3684519,
New Jersey,Essex County,4700,"Census Tract 47, Essex County, New Jersey",590380,0,40.705261,-74.2125696,4703,39980,5,272400,54480,796.6055761,
New Jersey,Essex County,4801,"Census Tract 48.01, Essex County, New Jersey",168256,0,40.710853,-74.2020153,2350,33561,4,213500,53375,1396.681248,
New Jersey,Essex County,4802,"Census Tract 48.02, Essex County, New Jersey",2363973,0,40.6993901,-74.2028721,3481,9702,3.2,333800,104312.5,147.2521048,
New Jersey,Essex County,4900,"Census Tract 49, Essex County, New Jersey",394145,0,40.7092562,-74.2070888,3424,44350,4.7,293900,62531.91489,868.7158279,
New Jersey,Essex County,500,"Census Tract 5, Essex County, New Jersey",207629,0,40.7679858,-74.1836562,1932,60071,4.9,297200,60653.06122,930.5058542,
New Jersey,Essex County,5000,"Census Tract 50, Essex County, New Jersey",796352,0,40.7149849,-74.1977891,2669,28719,4.9,276700,56469.38776,335.153299,
New Jersey,Essex County,5100,"Census Tract 51, Essex County, New Jersey",309075,0,40.714565,-74.2068192,2231,38077,4.9,297200,60653.06122,721.8312707,
New Jersey,Essex County,5200,"Census Tract 52, Essex County, New Jersey",268530,0,40.7191651,-74.2131892,948,67045,5.9,327100,55440.67797,353.0331807,
New Jersey,Essex County,5300,"Census Tract 53, Essex County, New Jersey",320432,0,40.7192042,-74.2091294,2612,45192,5.2,255100,49057.69231,815.1495481,
New Jersey,Essex County,5400,"Census Tract 54, Essex County, New Jersey",351902,0,40.7200828,-74.2032277,3528,26204,4.7,274500,58404.25532,1002.551847,
New Jersey,Essex County,5700,"Census Tract 57, Essex County, New Jersey",865359,0,40.7182931,-74.1846032,2888,35846,4.6,387500,84239.13043,333.734323,
New Jersey,Essex County,600,"Census Tract 6, Essex County, New Jersey",330148,0,40.7685941,-74.1872682,3965,44244,4.8,328100,68354.16667,1200.976532,
New Jersey,Essex County,6200,"Census Tract 62, Essex County, New Jersey",235827,0,40.7296971,-74.1862308,2156,37318,4.3,213000,49534.88372,914.2294987,
New Jersey,Essex County,6400,"Census Tract 64, Essex County, New Jersey",309845,0,40.7375915,-74.1840037,1059,65972,4.8,288900,60187.5,341.7837951,
New Jersey,Essex County,6600,"Census Tract 66, Essex County, New Jersey",161941,0,40.7270641,-74.1871371,1468,28929,3.8,187500,49342.10526,906.5029857,
New Jersey,Essex County,6700,"Census Tract 67, Essex County, New Jersey",327237,0,40.7253457,-74.1800817,3699,13624,3.4,383900,112911.7647,1130.373399,
New Jersey,Essex County,6800,"Census Tract 68, Essex County, New Jersey",1170423,0,40.7190961,-74.1737601,4710,31026,4.2,342100,81452.38095,402.4186128,
New Jersey,Essex County,6900,"Census Tract 69, Essex County, New Jersey",360629,0,40.723641,-74.1663917,4087,46769,4.1,333700,81390.2439,1133.297655,
New Jersey,Essex County,700,"Census Tract 7, Essex County, New Jersey",679521,0,40.7593598,-74.1920289,6296,33314,4.6,257000,55869.56522,926.5350151,
New Jersey,Essex County,7000,"Census Tract 70, Essex County, New Jersey",397128,0,40.7223246,-74.1612615,3534,42509,4,375600,93900,889.8894059,
New Jersey,Essex County,7100,"Census Tract 71, Essex County, New Jersey",385730,0,40.7205046,-74.1564618,3212,48484,4.4,378500,86022.72727,832.7068156,
New Jersey,Essex County,7200,"Census Tract 72, Essex County, New Jersey",203450,0,40.7240163,-74.1537614,3504,44138,4.5,367700,81711.11111,1722.290489,
New Jersey,Essex County,7300,"Census Tract 73, Essex County, New Jersey",411984,0,40.7274682,-74.1500142,5406,59311,4.6,361300,78543.47826,1312.186881,
